"","bondsettype","county","year","moneybond","moneybond_no","moneybond_yes","prbond","prbond_no","prbond_yes","totalnewfiling"
"298","Misdemeanor","Las Animas","2014","465","385","80","132","86","46","597"
"299","Misdemeanor","Las Animas","2015","399","337","62","94","70","24","493"
"300","Misdemeanor","Las Animas","2016","400","335","65","65","47","18","465"
"301","Misdemeanor","Lincoln","2014","100","89","11","6","6",NA,"106"
"302","Misdemeanor","Lincoln","2015","99","86","13","8","6","2","107"
"303","Misdemeanor","Lincoln","2016","106","97","9","11","10","1","117"
"304","Misdemeanor","Logan","2014","204","169","35","155","124","31","359"
"305","Misdemeanor","Logan","2015","168","134","34","203","163","40","371"
"306","Misdemeanor","Logan","2016","166","135","31","172","141","31","338"
"307","Misdemeanor","Mesa","2014","604","466","138","1,309","1,088","221","1,913"
"308","Misdemeanor","Mesa","2015","591","483","108","1,314","1,053","261","1,905"
"309","Misdemeanor","Mesa","2016","451","376","75","1,399","1,119","280","1,850"
"310","Misdemeanor","Mineral","2014","14","13","1",NA,NA,NA,"14"
"311","Misdemeanor","Mineral","2015","14","14",NA,"1","1",NA,"15"
"312","Misdemeanor","Mineral","2016","7","7",NA,"2","2",NA,"9"
"313","Misdemeanor","Moffat","2014","177","137","40","92","69","23","269"
"314","Misdemeanor","Moffat","2015","176","142","34","116","89","27","292"
"315","Misdemeanor","Moffat","2016","150","123","27","147","121","26","297"
"316","Misdemeanor","Montezuma","2014","276","250","26","368","308","60","644"
"317","Misdemeanor","Montezuma","2015","269","226","43","298","255","43","567"
"318","Misdemeanor","Montezuma","2016","252","229","23","275","250","25","527"
"319","Misdemeanor","Montrose","2014","522","393","129","180","153","27","702"
"320","Misdemeanor","Montrose","2015","421","328","93","173","137","36","594"
"321","Misdemeanor","Montrose","2016","393","309","84","238","189","49","631"
"322","Misdemeanor","Morgan","2014","336","288","48","176","151","25","512"
"323","Misdemeanor","Morgan","2015","352","303","49","230","187","43","582"
"324","Misdemeanor","Morgan","2016","319","279","40","231","194","37","550"
"325","Misdemeanor","Otero","2014","369","290","79","161","132","29","530"
"326","Misdemeanor","Otero","2015","312","253","59","191","159","32","503"
"327","Misdemeanor","Otero","2016","180","135","45","241","208","33","421"
"328","Misdemeanor","Ouray","2014","68","60","8","13","10","3","81"
"329","Misdemeanor","Ouray","2015","46","41","5","13","12","1","59"
"330","Misdemeanor","Ouray","2016","60","51","9","13","11","2","73"
"331","Misdemeanor","Park","2014","232","211","21","73","67","6","305"
"332","Misdemeanor","Park","2015","172","158","14","96","88","8","268"
"333","Misdemeanor","Park","2016","154","139","15","103","92","11","257"
"334","Misdemeanor","Phillips","2014","27","21","6","5","4","1","32"
"335","Misdemeanor","Phillips","2015","27","19","8","21","14","7","48"
"336","Misdemeanor","Phillips","2016","36","30","6","16","15","1","52"
"337","Misdemeanor","Pitkin","2014","117","97","20","62","50","12","179"
"338","Misdemeanor","Pitkin","2015","74","65","9","53","43","10","127"
"339","Misdemeanor","Pitkin","2016","94","80","14","39","32","7","133"
"340","Misdemeanor","Prowers","2014","334","270","64","73","47","26","407"
"341","Misdemeanor","Prowers","2015","325","264","61","62","50","12","387"
"342","Misdemeanor","Prowers","2016","273","223","50","34","29","5","307"
"343","Misdemeanor","Pueblo","2014","1,496","1,340","156","826","729","97","2,322"
"344","Misdemeanor","Pueblo","2015","1,183","1,021","162","1,307","1,145","162","2,490"
"345","Misdemeanor","Pueblo","2016","827","719","108","1,506","1,319","187","2,333"
"346","Misdemeanor","Rio Blanco","2014","150","140","10","10","10",NA,"160"
"347","Misdemeanor","Rio Blanco","2015","138","111","27","15","15",NA,"153"
"348","Misdemeanor","Rio Blanco","2016","84","71","13","20","17","3","104"
"349","Misdemeanor","Rio Grande","2014","97","67","30","104","79","25","201"
"350","Misdemeanor","Rio Grande","2015","104","82","22","87","70","17","191"
"351","Misdemeanor","Rio Grande","2016","103","77","26","84","69","15","187"
"352","Misdemeanor","Routt","2014","296","270","26","161","143","18","457"
"353","Misdemeanor","Routt","2015","249","235","14","171","151","20","420"
"354","Misdemeanor","Routt","2016","200","183","17","169","146","23","369"
"355","Misdemeanor","Saguache","2014","35","25","10","38","34","4","73"
"356","Misdemeanor","Saguache","2015","29","26","3","30","26","4","59"
"357","Misdemeanor","Saguache","2016","35","27","8","26","23","3","61"
"358","Misdemeanor","San Juan","2014","3","2","1","1","1",NA,"4"
"359","Misdemeanor","San Juan","2015","6","3","3","1","1",NA,"7"
"360","Misdemeanor","San Juan","2016","8","5","3","2","2",NA,"10"
"361","Misdemeanor","San Miguel","2014","110","92","18","29","21","8","139"
"362","Misdemeanor","San Miguel","2015","114","102","12","31","26","5","145"
"363","Misdemeanor","San Miguel","2016","179","162","17","22","20","2","201"
"364","Misdemeanor","Sedgwick","2014","20","19","1","6","6",NA,"26"
"365","Misdemeanor","Sedgwick","2015","25","24","1","15","12","3","40"
"366","Misdemeanor","Sedgwick","2016","31","29","2","7","7",NA,"38"
"367","Misdemeanor","Summit","2014","647","573","74","69","61","8","716"
"368","Misdemeanor","Summit","2015","709","616","93","107","89","18","816"
"369","Misdemeanor","Summit","2016","570","511","59","108","84","24","678"
"370","Misdemeanor","Teller","2014","406","367","39","127","114","13","533"
"371","Misdemeanor","Teller","2015","341","302","39","111","100","11","452"
"372","Misdemeanor","Teller","2016","278","244","34","114","110","4","392"
"373","Misdemeanor","Washington","2014","43","42","1","31","29","2","74"
"374","Misdemeanor","Washington","2015","54","47","7","36","33","3","90"
"375","Misdemeanor","Washington","2016","46","44","2","23","22","1","69"
"376","Misdemeanor","Weld","2014","2,227","1,839","388","1,092","967","125","3,319"
"377","Misdemeanor","Weld","2015","2,037","1,631","406","1,911","1,658","253","3,948"
"378","Misdemeanor","Weld","2016","1,627","1,301","326","2,256","1,972","284","3,883"
"379","Misdemeanor","Yuma","2014","65","60","5","21","20","1","86"
"380","Misdemeanor","Yuma","2015","85","73","12","31","25","6","116"
"381","Misdemeanor","Yuma","2016","74","62","12","33","27","6","107"
