"","county","year","money_bond_freq","pr_bond_freq","total_bond_freq","off_type","money_posted","money_bond_new_no","money_new_yes","pr_posted","pr_new_no","pr_new_yes","total_new"
"277","Jackson",2014,4,2,6,"Felony",3,3,NA,1,1,NA,4
"278","Jackson",2015,1,4,5,"Felony",1,1,NA,3,3,NA,4
"279","Jackson",2016,8,2,10,"Felony",7,5,2,2,2,NA,9
"280","Jefferson",2014,2619,437,3056,"Felony",1416,1179,237,448,399,49,1864
"281","Jefferson",2015,3032,440,3472,"Felony",1611,1343,268,456,410,46,2067
"282","Jefferson",2016,3404,539,3943,"Felony",1738,1503,235,563,493,70,2301
"283","Kiowa",2014,8,2,10,"Felony",6,4,2,2,1,1,8
"284","Kiowa",2015,9,1,10,"Felony",4,4,NA,1,NA,1,5
"285","Kiowa",2016,4,NA,4,"Felony",2,2,NA,NA,NA,NA,2
"286","Kit Carson",2014,49,6,55,"Felony",29,24,5,5,3,2,34
"287","Kit Carson",2015,54,14,68,"Felony",33,23,10,13,13,NA,46
"288","Kit Carson",2016,61,27,88,"Felony",35,23,12,26,15,11,61
"289","La Plata",2014,249,224,473,"Felony",141,89,52,184,135,49,325
"290","La Plata",2015,281,210,491,"Felony",174,139,35,199,150,49,373
"291","La Plata",2016,324,178,502,"Felony",216,183,33,163,139,24,379
"292","Lake",2014,77,8,85,"Felony",59,47,12,8,7,1,67
"293","Lake",2015,40,6,46,"Felony",31,27,4,6,6,NA,37
"294","Lake",2016,68,14,82,"Felony",56,47,9,13,11,2,69
"295","Larimer",2014,1309,472,1781,"Felony",765,609,156,439,388,51,1204
"296","Larimer",2015,1647,508,2155,"Felony",941,735,206,465,410,55,1406
"297","Larimer",2016,2130,645,2775,"Felony",1161,905,256,586,522,64,1747
"298","Las Animas",2014,105,62,167,"Felony",72,55,17,62,48,14,134
"299","Las Animas",2015,137,62,199,"Felony",77,60,17,65,46,19,142
"300","Las Animas",2016,112,43,155,"Felony",70,52,18,44,30,14,114
"301","Lincoln",2014,63,3,66,"Felony",22,19,3,4,4,NA,26
"302","Lincoln",2015,80,NA,80,"Felony",25,24,1,NA,NA,NA,25
"303","Lincoln",2016,84,3,87,"Felony",44,34,10,2,1,1,46
"304","Logan",2014,153,73,226,"Felony",85,64,21,68,54,14,153
"305","Logan",2015,169,65,234,"Felony",104,79,25,67,54,13,171
"306","Logan",2016,194,82,276,"Felony",95,77,18,72,64,8,167
"307","Mesa",2014,785,721,1506,"Felony",363,277,86,721,585,136,1084
"308","Mesa",2015,755,817,1572,"Felony",288,230,58,824,671,153,1112
"309","Mesa",2016,957,1034,1991,"Felony",314,252,62,1043,849,194,1357
"310","Mineral",2014,2,NA,2,"Felony",2,2,NA,NA,NA,NA,2
"311","Mineral",2015,1,3,4,"Felony",NA,NA,NA,2,1,1,2
"312","Mineral",2016,1,NA,1,"Felony",1,1,NA,NA,NA,NA,1
"313","Moffat",2014,134,27,161,"Felony",92,62,30,28,23,5,120
"314","Moffat",2015,164,67,231,"Felony",121,82,39,65,53,12,186
"315","Moffat",2016,160,93,253,"Felony",97,68,29,89,75,14,186
"316","Montezuma",2014,136,67,203,"Felony",86,73,13,67,54,13,153
"317","Montezuma",2015,184,60,244,"Felony",140,121,19,57,49,8,197
"318","Montezuma",2016,217,61,278,"Felony",154,137,17,61,55,6,215
"319","Montrose",2014,282,21,303,"Felony",166,110,56,45,35,10,211
"320","Montrose",2015,276,21,297,"Felony",174,113,61,49,37,12,223
"321","Montrose",2016,267,34,301,"Felony",191,112,79,71,59,12,262
"322","Morgan",2014,182,53,235,"Felony",113,74,39,52,44,8,165
"323","Morgan",2015,169,81,250,"Felony",98,77,21,78,59,19,176
"324","Morgan",2016,207,90,297,"Felony",108,81,27,89,64,25,197
"325","Otero",2014,139,65,204,"Felony",99,76,23,64,45,19,163
"326","Otero",2015,171,53,224,"Felony",136,88,48,51,35,16,187
"327","Otero",2016,153,65,218,"Felony",109,79,30,64,48,16,173
"328","Ouray",2014,14,2,16,"Felony",8,6,2,2,2,NA,10
"329","Ouray",2015,15,2,17,"Felony",12,9,3,3,2,1,15
"330","Ouray",2016,22,2,24,"Felony",19,15,4,3,2,1,22
"331","Park",2014,53,13,66,"Felony",38,31,7,17,15,2,55
"332","Park",2015,61,17,78,"Felony",52,42,10,19,14,5,71
"333","Park",2016,56,11,67,"Felony",43,40,3,11,9,2,54
"334","Phillips",2014,12,NA,12,"Felony",9,7,2,NA,NA,NA,9
"335","Phillips",2015,18,2,20,"Felony",15,11,4,2,2,NA,17
"336","Phillips",2016,15,7,22,"Felony",12,11,1,7,7,NA,19
"337","Pitkin",2014,38,4,42,"Felony",30,25,5,4,3,1,34
"338","Pitkin",2015,62,13,75,"Felony",51,44,7,13,9,4,64
"339","Pitkin",2016,53,22,75,"Felony",42,32,10,23,20,3,65
"340","Prowers",2014,108,47,155,"Felony",76,63,13,47,36,11,123
"341","Prowers",2015,157,48,205,"Felony",113,81,32,48,39,9,161
"342","Prowers",2016,179,52,231,"Felony",100,86,14,53,47,6,153
