fips,year,county,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,jud_district,medianHI,medianHI_MOE,povertyR
8055,2016,"Huerfano",276,96,41,137,"Felony",59,49,10,42,28,14,101,3,34626,3081,21.9
8057,2014,"Jackson",85,17,12,29,"Misdemeanor",11,9,2,12,9,3,23,8,45073,4768,16.6
8057,2014,"Jackson",277,4,2,6,"Felony",3,3,NA,1,1,NA,4,8,45073,4768,16.6
8057,2015,"Jackson",86,14,7,21,"Misdemeanor",8,7,1,7,6,1,15,8,46905,4828,13.9
8057,2015,"Jackson",278,1,4,5,"Felony",1,1,NA,3,3,NA,4,8,46905,4828,13.9
8057,2016,"Jackson",87,15,3,18,"Misdemeanor",3,3,NA,3,2,1,6,8,46671,5052,14.1
8057,2016,"Jackson",279,8,2,10,"Felony",7,5,2,2,2,NA,9,8,46671,5052,14.1
8059,2014,"Jefferson",88,4831,813,5644,"Misdemeanor",2360,2079,281,806,739,67,3166,1,70687,1319,8.3
8059,2014,"Jefferson",280,2619,437,3056,"Felony",1416,1179,237,448,399,49,1864,1,70687,1319,8.3
8059,2015,"Jefferson",89,4920,964,5884,"Misdemeanor",2321,2022,299,952,862,90,3273,1,71209,1563,7.9
8059,2015,"Jefferson",281,3032,440,3472,"Felony",1611,1343,268,456,410,46,2067,1,71209,1563,7.9
8059,2016,"Jefferson",90,5304,1097,6401,"Misdemeanor",2285,2022,263,1046,957,89,3331,1,74342,2275,7.0
8059,2016,"Jefferson",282,3404,539,3943,"Felony",1738,1503,235,563,493,70,2301,1,74342,2275,7.0
8061,2014,"Kiowa",91,87,3,90,"Misdemeanor",44,41,3,2,2,NA,46,15,42310,3342,13.5
8061,2014,"Kiowa",283,8,2,10,"Felony",6,4,2,2,1,1,8,15,42310,3342,13.5
8061,2015,"Kiowa",92,65,4,69,"Misdemeanor",26,25,1,4,4,NA,30,15,42108,4303,13.9
8061,2015,"Kiowa",284,9,1,10,"Felony",4,4,NA,1,NA,1,5,15,42108,4303,13.9
8061,2016,"Kiowa",93,53,3,56,"Misdemeanor",26,24,2,3,3,NA,29,15,43951,4670,13.9
8061,2016,"Kiowa",285,4,NA,4,"Felony",2,2,NA,NA,NA,NA,2,15,43951,4670,13.9
8063,2014,"Kit Carson",94,181,39,220,"Misdemeanor",112,101,11,37,29,8,149,13,46394,4486,14.9
8063,2014,"Kit Carson",286,49,6,55,"Felony",29,24,5,5,3,2,34,13,46394,4486,14.9
8063,2015,"Kit Carson",95,164,62,226,"Misdemeanor",105,94,11,58,51,7,163,13,44090,3951,12.2
8063,2015,"Kit Carson",287,54,14,68,"Felony",33,23,10,13,13,NA,46,13,44090,3951,12.2
8063,2016,"Kit Carson",96,196,73,269,"Misdemeanor",108,88,20,70,61,9,178,13,48272,3698,14.3
8063,2016,"Kit Carson",288,61,27,88,"Felony",35,23,12,26,15,11,61,13,48272,3698,14.3
8067,2014,"La Plata",97,753,463,1216,"Misdemeanor",450,389,61,380,303,77,830,6,60658,3970,10.7
8067,2014,"La Plata",289,249,224,473,"Felony",141,89,52,184,135,49,325,6,60658,3970,10.7
8067,2015,"La Plata",98,906,541,1447,"Misdemeanor",547,476,71,507,408,99,1054,6,60732,3185,9.4
8067,2015,"La Plata",290,281,210,491,"Felony",174,139,35,199,150,49,373,6,60732,3185,9.4
8067,2016,"La Plata",99,1000,463,1463,"Misdemeanor",617,549,68,430,366,64,1047,6,58499,4570,10.9
8067,2016,"La Plata",291,324,178,502,"Felony",216,183,33,163,139,24,379,6,58499,4570,10.9
8065,2014,"Lake",100,152,63,215,"Misdemeanor",107,91,16,64,51,13,171,5,46765,4834,16.0
8065,2014,"Lake",292,77,8,85,"Felony",59,47,12,8,7,1,67,5,46765,4834,16.0
8065,2015,"Lake",101,242,68,310,"Misdemeanor",182,148,34,67,56,11,249,5,45913,4822,15.7
8065,2015,"Lake",293,40,6,46,"Felony",31,27,4,6,6,NA,37,5,45913,4822,15.7
8065,2016,"Lake",102,212,50,262,"Misdemeanor",150,122,28,47,43,4,197,5,49064,5108,14.6
8065,2016,"Lake",294,68,14,82,"Felony",56,47,9,13,11,2,69,5,49064,5108,14.6
