"Population Estimates by Region and County, 2000 - 2017, Vintage 2017, State Demography Office",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,
   CLR CRK. & GILPIN,"14,167","14,293","14,296","14,368","14,286","14,284","14,232","14,297","14,378","14,456","14,618","14,466","14,478","14,551","14,864","15,071","15,296","15,625",
     Clear Creek ,"9,360","9,464","9,466","9,517","9,461","9,392","9,279","9,333","9,294","9,060","9,155","9,046","9,057","9,030","9,127","9,279","9,395","9,625",
     Gilpin ,"4,807","4,829","4,830","4,851","4,825","4,892","4,953","4,964","5,084","5,396","5,463","5,420","5,421","5,521","5,737","5,792","5,901","6,000",
,,,,,,,,,,,,,,,,,,,
   PARK COUNTY ,"14,728","15,172","15,417","15,789","15,913","16,061","16,128","16,336","16,278","15,971","16,262","16,033","16,022","16,159","16,353","16,704","17,339","17,892",
,,,,,,,,,,,,,,,,,,,
   REGION 13,"74,138","74,694","75,124","75,076","74,886","74,798","74,921","75,293","75,565","75,579","76,205","76,889","76,574","76,083","76,155","76,653","78,130","79,708",
     Chaffee ,"16,312","16,410","16,646","16,794","16,946","17,022","16,984","17,238","17,403","17,604","17,797","18,021","18,156","18,322","18,453","18,578","19,077","19,623",
     Custer ,"3,518","3,730","3,783","3,934","3,984","4,045","4,017","4,130","4,119","4,166","4,272","4,218","4,212","4,256","4,337","4,431","4,579","4,859",
     Fremont ,"46,369","46,733","46,969","46,828","46,540","46,447","46,703","46,654","46,774","46,635","46,854","47,369","47,011","46,291","46,093","46,245","46,940","47,521",
     Lake ,"7,939","7,821","7,726","7,520","7,416","7,284","7,217","7,271","7,269","7,174","7,282","7,281","7,195","7,214","7,272","7,399","7,534","7,705",
,,,,,,,,,,,,,,,,,,,
   REGION 14,"23,112","23,215","23,575","24,131","23,429","23,393","23,302","23,183","23,166","22,187","22,062","21,529","21,488","20,801","20,411","20,408","20,616","20,802",
     Huerfano ,"7,826","7,905","7,916","8,042","7,729","7,823","7,750","7,658","7,680","6,710","6,655","6,497","6,535","6,440","6,370","6,379","6,557","6,605",
     Las Animas ,"15,286","15,310","15,659","16,089","15,700","15,570","15,552","15,525","15,486","15,477","15,407","15,032","14,953","14,361","14,041","14,029","14,059","14,197",
,,,,,,,,,,,,,,,,,,,
 SAN LUIS VALLEY,"46,424","46,646","46,848","47,275","47,615","47,376","46,987","46,531","46,389","45,851","46,138","46,329","46,336","46,078","45,901","45,782","46,205","46,578",
